user_id,item_id,rating
U0001,P0002995,4.5
U0001,P0001526,1
U0001,P0007410,3.5
U0002,P0000145,5
U0002,P0000111,2
U0002,P0003570,4
U0003,P0003589,1
U0003,P0000011,2
U0003,P0000111,3
U0003,P0001111,4
U0004,P0000003,5
U0004,P0001999,3.5
U0004,P0003003,2.5
U0004,P0000303,5
U0005,P0002000,1
U0005,P0000357,2
U0005,P0002000,3
U0005,P0002020,4
U0006,P0008520,2.5
U0007,P0001365,2.5
U0007,P0005631,5
U0007,P0001999,4.5
U0007,P0002995,2
U0008,P0008999,5
U0008,P0000111,3
U0009,P0002995,1
U0010,P0002115,2
U0011,P0001587,4
U0012,P0002995,5
U0013,P0001999,1
U0013,P0005631,2
U0013,P0000003,4